Pin_0.25GHz,Pout_0.25GHz,Pin_1GHz,Pout_1GHz,Pin_2GHz,Pout_2GHz,Pin_3GHz,Pout_3GHz
-9.95095,11.1445,-9.85567,12.4162,-10.0413,11.6532,-9.95059,11.2717
-4.29337,16.6763,-2.772,19.4104,-5.30378,16.2312,-6.22527,14.7688
4.17016,25.0058,1.27565,23.3526,-1.53188,19.9827,-0.47489,20.6821
7.57402,28.3757,5.64459,27.3584,1.68814,23.2254,3.71127,24.9422
11.5303,32.4451,8.31345,30.3468,4.40358,26.4682,3.5733,24.815
14.6113,35.1792,10.7053,32.6994,6.19717,28.1214,6.28732,27.5491
16.9557,36.9595,12.6365,34.3526,8.22064,29.9653,9.55339,30.8555
18.6106,38.2312,14.3832,35.6243,11.8073,33.0809,11.7147,32.763
20.9081,39.6301,16.8195,37.4682,15.6221,35.7514,15.0693,34.9249
23.3881,40.711,18.6577,38.6763,18.1491,37.2139,17.6423,36.4509
25.7747,41.1561,20.8629,39.8844,20.4926,38.6763,20.1697,38.0405
26.9215,41.1561,24.2145,40.9653,22.8352,39.8208,21.8694,38.9306
,,26.9218,41.2832,25.5898,40.6474,23.6145,39.6301
,,,,27.2415,40.7746,25.7265,40.3295
